PRISM Time Series Data
Locations: 39
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2019-01-01 - 2019-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Jan-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmean (degrees C)
BART,-71.2883,44.0652,263,2019-01-01,19.17,-2.2
BART,-71.2883,44.0652,263,2019-01-02,2.09,-2.7
BART,-71.2883,44.0652,263,2019-01-03,5.03,-6.6
BART,-71.2883,44.0652,263,2019-01-04,1.13,-3.1
BART,-71.2883,44.0652,263,2019-01-05,0.00,-1.2
BART,-71.2883,44.0652,263,2019-01-06,0.00,-2.3
BART,-71.2883,44.0652,263,2019-01-07,2.23,-5.9
BART,-71.2883,44.0652,263,2019-01-08,3.98,-9.9
BART,-71.2883,44.0652,263,2019-01-09,10.48,-4.8
BART,-71.2883,44.0652,263,2019-01-10,17.46,-1.5
BART,-71.2883,44.0652,263,2019-01-11,1.21,-7.7
BART,-71.2883,44.0652,263,2019-01-12,0.13,-14.5
BART,-71.2883,44.0652,263,2019-01-13,0.00,-14.8
BART,-71.2883,44.0652,263,2019-01-14,0.00,-13.6
BART,-71.2883,44.0652,263,2019-01-15,0.00,-12.0
BART,-71.2883,44.0652,263,2019-01-16,0.00,-6.7
BART,-71.2883,44.0652,263,2019-01-17,0.57,-9.1
BART,-71.2883,44.0652,263,2019-01-18,0.00,-13.5
BART,-71.2883,44.0652,263,2019-01-19,0.92,-7.8
BART,-71.2883,44.0652,263,2019-01-20,16.60,-10.7
BART,-71.2883,44.0652,263,2019-01-21,21.25,-13.9
BART,-71.2883,44.0652,263,2019-01-22,2.83,-18.9
BART,-71.2883,44.0652,263,2019-01-23,0.00,-12.8
BART,-71.2883,44.0652,263,2019-01-24,5.24,-5.4
BART,-71.2883,44.0652,263,2019-01-25,45.14,0.8
BART,-71.2883,44.0652,263,2019-01-26,0.56,-6.1
BART,-71.2883,44.0652,263,2019-01-27,0.00,-10.7
BART,-71.2883,44.0652,263,2019-01-28,5.94,-8.8
BART,-71.2883,44.0652,263,2019-01-29,0.00,-12.7
BART,-71.2883,44.0652,263,2019-01-30,16.43,-12.8
BART,-71.2883,44.0652,263,2019-01-31,1.72,-12.0
BART,-71.2883,44.0652,263,2019-02-01,0.00,-16.4
BART,-71.2883,44.0652,263,2019-02-02,0.00,-15.0
BART,-71.2883,44.0652,263,2019-02-03,0.00,-12.1
BART,-71.2883,44.0652,263,2019-02-04,5.99,-7.2
BART,-71.2883,44.0652,263,2019-02-05,1.01,5.0
BART,-71.2883,44.0652,263,2019-02-06,0.00,2.9
BART,-71.2883,44.0652,263,2019-02-07,8.59,-2.6
BART,-71.2883,44.0652,263,2019-02-08,3.89,-0.8
BART,-71.2883,44.0652,263,2019-02-09,1.29,-0.9
BART,-71.2883,44.0652,263,2019-02-10,0.00,-8.4
BART,-71.2883,44.0652,263,2019-02-11,0.00,-8.7
